4221,10035,DOCTORAL,7.25,2021-06-10,114
5728,1645,DOCTORAL,7.49,2018-10-04,221
652,10614,BACHELOR,8.06,2018-05-05,165
5694,6283,DOCTORAL,9.89,2020-12-08,138
1828,9628,DOCTORAL,6.73,2020-11-20,121
5322,8977,BACHELOR,8.69,2022-10-16,164
4368,2384,MASTER,6.24,2016-12-26,229
6256,5127,MASTER,9.85,2019-04-21,206
2874,5792,DOCTORAL,6.05,2017-01-24,179
6029,1877,BACHELOR,8.64,2020-11-28,110
5481,7688,BACHELOR,6.77,2019-02-06,201
5336,8165,MASTER,6.19,2022-05-15,138
17,8140,MASTER,8.58,2017-02-19,131
1669,9773,MASTER,6.71,2018-04-11,106
4575,3404,MASTER,8.77,2019-04-08,116
2298,2047,MASTER,9.88,2016-08-09,160
15,10576,DOCTORAL,9.59,2016-12-19,143
2964,2943,BACHELOR,6.37,2022-01-15,217
1659,1001,MASTER,8.14,2018-06-23,117
5714,11434,BACHELOR,9.58,2020-06-06,132
2102,5224,MASTER,7.92,2020-09-13,200
4680,10855,MASTER,6.49,2020-12-29,219
1667,3219,BACHELOR,9.24,2022-12-21,136
2166,5155,DOCTORAL,9.28,2019-12-05,108
3426,1974,DOCTORAL,9.71,2019-05-19,101
4158,4334,MASTER,9.78,2019-03-09,157
3984,2653,BACHELOR,6.97,2022-04-05,211
3416,6583,DOCTORAL,7.1,2019-10-28,126
5160,5765,DOCTORAL,6.34,2022-01-18,103
4254,6814,DOCTORAL,7.79,2018-02-08,164
2129,9561,BACHELOR,8.71,2016-05-25,201
4922,7126,BACHELOR,7.76,2018-10-21,230
853,8863,MASTER,7.19,2017-11-04,182
54,11284,MASTER,7.18,2017-04-17,186
3969,2480,DOCTORAL,8.99,2021-11-27,148
4965,7729,MASTER,6.04,2019-09-07,206
2384,4652,DOCTORAL,6.87,2020-12-03,184
167,8619,DOCTORAL,9.17,2021-09-24,188
5885,879,DOCTORAL,8.98,2021-02-03,134
5389,10243,DOCTORAL,6.98,2022-02-06,130
1098,6479,BACHELOR,7.47,2020-01-12,170
1298,1410,BACHELOR,8.07,2022-04-20,225
539,2442,MASTER,8.63,2017-12-20,103
3171,8408,DOCTORAL,8.63,2017-04-26,203
3475,3903,BACHELOR,6.89,2019-01-13,137
4724,9069,BACHELOR,6.4,2019-04-13,121
6198,9348,MASTER,7.47,2022-11-27,141
239,1798,BACHELOR,6.84,2019-11-05,170
5259,7601,BACHELOR,8.43,2017-08-18,185
1681,1295,MASTER,6.55,2020-02-22,207
5926,7214,MASTER,8.13,2021-04-18,160
4957,2465,BACHELOR,9.54,2022-02-09,190
1200,7298,DOCTORAL,9.65,2021-09-07,181
5280,2956,BACHELOR,8.1,2020-05-25,130
3865,8726,MASTER,9.68,2019-04-14,216
687,3444,MASTER,9.38,2020-03-05,223
6246,1345,BACHELOR,6.45,2016-04-02,172
2482,2642,BACHELOR,6.26,2021-01-02,165
3843,6983,BACHELOR,6.16,2016-03-03,107
367,149,DOCTORAL,8.79,2020-06-25,102
